"","subID","condition","Hz","frontal","central","parietal","occipital","ln_Hz","ln_frontal","ln_central","ln_parietal","ln_occipital"
"266","ya04","ya04",0.997,35.14598,36.0243333333333,41.13536,49.7945666666667,-0.00300450902029872,3.55951024471769,3.58419463604699,3.71686809225392,3.90790587499945
"267","ya04","ya04",1.994,10.8015,11.7667333333333,9.6734,7.83413333333333,0.690142671539647,2.37968501337489,2.46527634097747,2.26937985056294,2.0584902549269
"268","ya04","ya04",2.991,4.35378,5.32153333333333,4.17928,3.18583333333333,1.09560777964781,1.47104443328588,1.67176148237737,1.43013898289631,1.15871389792032
"269","ya04","ya04",3.988,2.41984,2.91663333333333,2.24796,1.69073333333333,1.38328985209959,0.883701422280376,1.07042998306468,0.810023138278831,0.525162359866043
"270","ya04","ya04",4.985,1.7398,2.08393333333333,1.59774,1.17493333333333,1.6064334034138,0.553770164091303,0.734257133616161,0.468590130727228,0.161211408397832
"271","ya05","ya05",0.997,152.01748,86.7079333333333,84.1798,113.5727,-0.00300450902029872,5.02399551423428,4.4625453828683,4.43295498747835,4.73244316050491
"272","ya05","ya05",1.994,12.29402,15.2543333333333,9.9886,14.5274,0.690142671539647,2.50911296529332,2.72486361569507,2.30144444269978,2.67603652144662
"273","ya05","ya05",2.991,3.1386,5.609,4.48376,6.48693333333333,1.09560777964781,1.14377684062248,1.7243724505262,1.50046198013786,1.86978989721393
"274","ya05","ya05",3.988,1.9736,3.60023333333333,2.64036,3.76866666666667,1.38328985209959,0.67985928623301,1.28099865817649,0.970915271497913,1.32672126958499
"275","ya05","ya05",4.985,1.5734,2.98346666666667,2.31036,2.7863,1.6064334034138,0.453238882913005,1.09308593535739,0.837403356547108,1.02471455082386
"276","ya05","ya05",0.997,45.48962,109.970466666667,139.65458,288.160233333333,-0.00300450902029872,3.81748416806274,4.70021184489542,4.9391720881298,5.66351669116265
"277","ya05","ya05",1.994,6.38192,17.5829,12.92654,18.5140666666667,0.690142671539647,1.85346899252208,2.86692683883462,2.55928256223299,2.91853080351715
"278","ya05","ya05",2.991,2.4542,6.80416666666667,5.27248,6.02383333333333,1.09560777964781,0.89780084256031,1.91753516962847,1.66250084009665,1.79572382300551
"279","ya05","ya05",3.988,1.70558,4.0514,3.24694,3.83396666666667,1.38328985209959,0.533905228841838,1.39906250039757,1.17771301435435,1.34389995044551
"280","ya05","ya05",4.985,1.37576,3.3775,2.46182,2.79493333333333,1.6064334034138,0.319006305693807,1.21713579085222,0.900900913797868,1.02780825420572
"281","ya06","ya06",0.997,94.74262,25.5780666666667,24.13138,40.5924,-0.00300450902029872,4.55116395174696,3.24173521341428,3.18351306822129,3.70358085696683
"282","ya06","ya06",1.994,12.59032,5.38423333333333,6.10928,7.9701,0.690142671539647,2.53292826473087,1.68347492968963,1.80980892663267,2.07569703977485
"283","ya06","ya06",2.991,3.7675,2.6767,3.25586,3.62683333333333,1.09560777964781,1.32641165151851,0.984584692513143,1.18045644967288,1.2883599075861
"284","ya06","ya06",3.988,2.59336,2.13196666666667,2.49768,2.56173333333333,1.38328985209959,0.952954332245673,0.757044871409641,0.915362301015577,0.9406841127073
"285","ya06","ya06",4.985,1.80042,1.5708,1.66948,1.6404,1.6064334034138,0.588019971017464,0.451585043721717,0.512512200695195,0.494940114535767
"286","ya06","ya06",0.997,18.0648,20.4147666666667,22.53254,40.9301666666667,-0.00300450902029872,2.8939652934063,3.01625849520177,3.11496048666043,3.71186736248885
"287","ya06","ya06",1.994,5.86424,6.51626666666667,6.43532,7.3604,0.690142671539647,1.76887289144124,1.8743016148052,1.86180156786142,1.99611427909008
"288","ya06","ya06",2.991,3.90946,5.69376666666667,4.94052,4.9958,1.09560777964781,1.36339925704269,1.73937200920809,1.59747058881795,1.60859755943641
